forma,Color,Numero de paredes,Conexión hifal,Reacción con Melzer,Textura,Nombre cientifico,genero,familia,Pais,vegetacion,habitat,Localidad,Información de la especie,Particularidad,tam_min,tam_max,tam_promedio,forma_std,forma_token,espora_cilindrica,espora_clavada,espora_elipsoide,espora_fusiforme,espora_globosa,espora_irregular,espora_oblonga,espora_ovoide,espora_piriforme,espora_reniforme,espora_subglobosa,espora_triangular,color_token,color_amarillo,color_ambar,color_blanco,color_crema,color_dorado,color_gris,color_hialino,color_marron,color_miel,color_naranja,color_negro,color_ocre,color_rojo,color_sin_reporte,color_verdoso,conexion_token,textura_tokens,tex_sup_alveolada,tex_sup_aspera,tex_sup_foveolada,tex_sup_granular,tex_sup_laberintiforme,tex_sup_lisa,tex_sup_ornamentada,tex_sup_perforada,tex_sup_reticulada,tex_sup_rugosa,tex_sup_scrobiculada,tex_sup_verrugosa,tex_est_estratificada,tex_est_laminada,tex_est_membranosa,tex_est_subcapas,tex_est_sublaminada,tex_cons_delgada,tex_cons_evanescente,tex_cons_flexible,tex_cons_fragil,tex_cons_gruesa,tex_cons_mucilaginosa,tex_cons_quebradiza,tex_cons_rigida,tex_cons_semiflexible,tex_cons_suave,tex_orn_crestas,tex_orn_depresiones,tex_orn_espinas,tex_orn_estrias,tex_orn_hoyos,tex_orn_papilas,tex_orn_protuberancias,tex_orn_proyecciones,tex_orn_pustulas,tex_orn_reticulo,tex_orn_verrugas,melzer_negativo,melzer_positivo,melzer_ninguna,melzer_paredes_internas,melzer_sin_reporte
globosas a subglobosas,amarillo palido a cafe amarillento,2.0,hifa suspensora recta o recurvada,negativo,laminada,Glomus fuegianum,Glomus,Glomeraceae,"Polonia, Argentina, Reino Unido, Nueva Zelanda, Australia",Haya (Nothofagus),Bosque subantártico,Global,esporas en grupos o esporocarpos con o sin peridium arbusculos y vesiculas comunes,similar a gl rubiforme pero con manto hifal y a gl sinuosum por las hifas sinuosas aunque con diferencias en estructura de esporas,20.0,60.0,40.0,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,"['amarillo', 'marron']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['recta', 'curvada', 'curvada', 'recurvada'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': [], 'estructura': ['laminada'], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
globosas a subglobosas,hialinas a amarillo claro,4.0,hifa suspensora recta o curveada,negativo,laminada,Glomus gibbosum,Glomus,Glomeraceae,"Polonia, Israel",Pastos de duna,Dunas marítimas,Esporas solitarias o en grupos dentro de un manto hifal; crea arbusculos y vesículas en raíces.,forma un manto hifal que envuelve completamente grupos de esporas caracteristica unica de esta especie,ammophila arenaria helichrysum arenarium hieracium umbellatum petasites spurius,70.0,140.0,105.0,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,"['hialino', 'amarillo']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['recta'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': [], 'estructura': ['laminada'], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
globosas a subglobosas,cafe anaranjada a cafe rojizo,3.0,hifa suspensora recta o curveada,sin reporte,laminada,Glomus globiferum,Glomus,Glomeraceae,No reportada,"Malezas, Pioneras",Suelos baldíos / Ruderal,No reportada,esporas con peridium externo compuesto de hifas entretejidas y vesiculas terminales o intercaladas capas de pared con subcapas,las esporas presentean un peridium externo con vesiculas terminales una caracteristica distintiva de esta especie podria ser sinonimo de g tortuosum,150.0,270.0,210.0,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,"['marron', 'rojo']",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['recta'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': [], 'estructura': ['laminada'], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
globosas a subglobosas,anaranjado claro a amarillo dorado,2.0,hifa suspensora cilindrica o ligeramente contraida,sin reporte,laminada,Glomus glomerulatum,Glomus,Glomeraceae,"Colombia, China","Maíz, Trigo",Agrosistemas,No reportada,las esporas se forman intercalarmente en esporocarpos sin peridium con una pared de dos capas la interna laminada y la externa flexible,las esporas son pequenas intercaladas a lo largo de hifas no septadas los esporocarpos tienen una superficie nodosa con esporas comprimidas,40.0,70.0,55.0,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,"['naranja', 'amarillo', 'dorado']",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['cilindrica', 'contraida'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': [], 'estructura': ['laminada'], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
globosas a subglobosas,cafe claro a cafe,2.0,hifa suspensora recta,sin reporte,laminada,Glomus halonatum,Glomus,Glomeraceae,"Inglaterra, México",Halófitas,Salinas / Marismas,No reportada,esporas simples o en pequenos grupos de con una capa amorfa hialina y una capa cafe interna frecuentemente lamelada y ornamentada con espinas,diferencia principal con gl caledonium tiene una pared externa amorfa y pobremente separada ademas de una capa interna equinulada con espinas internas,200.0,280.0,240.0,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,['marron'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['recta'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': [], 'estructura': ['laminada'], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ovoides a elipsoides,claro a cafe oscuro,2.0,hifa suspensora cilindrica a acampanada,sin reporte,laminada,Glomus heterosporum,Glomus,Glomeraceae,"Florida, E.U.A.",Ciperáceas,Pantanos / Zonas húmedas,No reportada,esporas producidas en esporocarpos con esporas maduras asincronicas originadas de celulas esporogenas sin peridium,similar a glomus rubiformis pero difiere en el tamano y grosor de la pared de las esporas las esporas en esporocarpos maduran asincronicamente,99.0,206.0,152.5,ovoide,"['elipsoide', 'ovoide']",0,0,1,0,0,0,0,1,0,0,0,0,['marron'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['cilindrica', 'acampanada'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': [], 'estructura': ['laminada'], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
globosas a subglobosas,cafe claro,2.0,hifa suspensora cilindrica a acampanada,sin reporte,capa externa degradada con edad,Glomus hoi,Glomus,Glomeraceae,Canadá y E.U.A.,"Tomate, Fresa",Agrosistemas intensivos,No reportada,esporas solitarias en el suelo con una capa externa que se degrada con la edad y una capa interna membranosa hialina,similar a glomus deserticola pero con una capa interna membranosa unica otras especies similares carecen de esta capa,45.0,155.0,100.0,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,['marron'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['cilindrica', 'acampanada'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': [], 'estructura': [], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
globosas subglobosas elipsoides,miel a cafe anaranjado,3.0,hifa suspensora simple ligeramente acampanada rara vez ramificada,sin reporte,lisa o perforada con edad,Glomus hyderabadensis,Glomus,Glomeraceae,India,Arbustos espinosos,Matorral espinoso,No reportada,esporas sesiles proliferan de esporas madres ambas tienen caracteristicas de color y estructura similares,produccion de esporas sesiles adheridas a una espora madre perforaciones uniformes en la capa externa,18.0,136.0,77.0,globosa,"['elipsoide', 'subglobosa', 'globosa']",0,0,1,0,1,0,0,0,0,0,1,0,"['miel', 'marron', 'naranja']",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['acampanada', 'ramificada'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['lisa', 'perforada'], 'estructura': [], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
globosas subglobosas,hialinas,2.0,hifa suspensora hialina recta o curvada cilindrica o en forma de embudo,positivo,lisa o mucilaginosa,Glomus indicum,Glomus,Glomeraceae,"India, Noreste de África",Gramíneas,Suelos arenosos,Raíces de Euphorbia heterophylla,forman esporas en agregados epigeos capa externa mucilaginosa tine intensamente en melzer capa interna laminada y lisa,agregados de a mas de esporas capa externa mucilaginosa que se degrada con la edad poro usualmente abierto,17.0,52.0,34.5,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,['hialino'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['recta', 'curvada', 'curvada', 'cilindrica', 'embudo'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['lisa'], 'estructura': [], 'consistencia': ['mucilaginosa'], 'ornamentacion': []}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
globosas subglobosas,blanco amarillento a amarillo dorado,2.0,hifa suspensora hialina a amarillo palido recta o curvada cilindrica o ligeramente acampanada,negativo,superficie interna agujerada,Glomus insculptum,Glomus,Glomeraceae,Polonia,Gramíneas silvestres,Suelos naturales,Suelos epígeos,forma esporas solitarias la capa laminada presentea una superficie interna con agujeros irregulares que se observan con dificultad en esporas jovenes,la capa laminada presentea agujeros irregulares unicos en su pared interna caracteristica que distingue a esta especie de otras similares,50.0,85.0,67.5,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,"['blanco', 'amarillo', 'dorado']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['recta', 'curvada', 'curvada', 'cilindrica', 'acampanada'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': [], 'estructura': [], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
globosas hipogeas,cafe claro a cafe,2.0,hifa suspensora compuesta de dos capas continuas ligeramente estrecha en la base de la espora,sin reporte,superficie lisa,Glomus invermaium,Glomus,Glomeraceae,Nueva Zelanda,"Ryegrass, Trébol",Pastizales,Suelos hipógeos,esporas pequenas desarrolladas en esporocarpos de aproximadamente mm sin peridium poro abierto de m de diametro,esporas con hifa suspensora bicapa ligeramente estrecha en la base sin peridium en los esporocarpos,50.0,75.0,62.5,globosa,['globosa'],0,0,0,0,1,0,0,0,0,0,0,0,['marron'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['contraida'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['lisa'], 'estructura': [], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
globosas subglobosas,hialino a amarillo pastel a,3.0,hifa suspensora recta o curvada cilindrica o en forma de embudo m de ancho,positivo,superficie lisa la capa interna es laminada y a veces estratificada en laminas individuales,Glomus iranicum,Glomus,Glomeraceae,Irán,"Pistacho, Cereales",Suelos áridos / Salinos,"Khoramshahr, Khuzestán",esporas pequenas en racimos sueltos o compactos ocasionalmente dentro de raices la capa externa es mucilaginosa y de corta vida la capa media es semirrigida y se separa frecuentemente en esporas trituradas,esporas hialinas con capa externa mucilaginosa que se degrada con la edad y se tine en melzer capa media semirrigida que se quiebra al ser triturada y capa laminada interna que puede estratificarse en esporas aplastadas,13.0,56.0,34.5,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,"['hialino', 'amarillo']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['recta', 'curvada', 'curvada', 'cilindrica', 'embudo'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['lisa'], 'estructura': ['laminada', 'estratificada'], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
globosas subglobosas,amarillo a amarillo dorado,3.0,hifa suspensora cilindrica a acampanada en juveniles forma de embudo en maduras m de ancho,negativo,lisa con apariencia granular en capa interna,Glomus kerguelense,Glomus,Glomeraceae,Región Antártica,"Tussok, Azorella",Tundra Subantártica,Rizósfera de Agrotis stolonifera,esporas ornamentadas internamente con capas diferenciadas mucilaginosa y evanescente l laminada y reticulada en la media l y granulada en la interna l esporas pueden estar solitarias o en grupos incluso dentro de raices,apariencia granular interna y tres capas bien diferenciadas capa media con reticulaciones visibles al microscopio capa interna granulada en esporas jovenes unica en ornamentacion interna y distribucion en region antartica,75.0,256.0,165.5,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,"['amarillo', 'dorado']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['cilindrica', 'acampanada', 'embudo'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['lisa', 'granular'], 'estructura': [], 'consistencia': [], 'ornamentacion': []}",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
globosas subglobosas,blanco lacteo,1.0,hifas suspensoras multiples rectas m de diametro frecuentemente unidas cerca de la espora,negativo,superficie lisa,Glomus lacteum,Glomus,Glomeraceae,No reportada,Leguminosas,Praderas naturales,No reportada,esporas distintivas por su color blanco lacteo y pared delgada y simple asociado con micorrizas vesiculo arbusculares similar a glomus albidum pero se diferencia en que esta ultima tiene dos paredes de igual grosor,multiplicidad de conexiones hifales color blanco lacteo y espora de pared simple y delgada,150.0,220.0,185.0,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,['blanco'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['recta', 'multiples'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['lisa'], 'estructura': [], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
globosas subglobosas,amarillo,2.0,hifas suspensoras rectas o curvadas cilindricas o ligeramente acampanadas m de ancho a veces dos por espora,negativo,superficie lisa,Glomus macrocarpum,Glomus,Glomeraceae,Amplia distribución,"Generalista (Maíz, Soja)",Cosmopolita,Literatura indica distribución global,esporas usualmente contenidas en esporocarpos con esporas estructura de pared con dos capas similares a gl geosporum y gl verruculosum pero con diferencias en la estructura de la pared y su asociacion a esporocarpos,esporas contenidas en esporocarpos estructura de pared laminada con dos capas probable falta de establecimiento en cultivos trampa,110.0,120.0,115.0,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,['amarillo'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['recta', 'curvada', 'curvada', 'cilindrica', 'acampanada'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['lisa'], 'estructura': [], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
globosas subglobosas,cafe con variaciones,2.0,hifa suspensora prominente recta o ligeramente curvada con poro cerrado en esporas maduras,sin reporte,finamente laminada,Glomus magnicaule,Glomus,Glomeraceae,Nueva Zelanda,Hierbas de sotobosque,Bosques de montaña,Asociado a Coprosma robusta,distinguible por su pared gruesa laminada en esporas jovenes y una hifa suspensora notablemente ancha con poro ocluido al madurar,esporas solitarias hifa suspensora prominente con proyecciones laterales y poro cerrado por engrosamiento lateral de la pared,125.0,175.0,150.0,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,['marron'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['recta', 'curvada', 'curvada'], 'septo': [], 'poro': ['poro_cerrado'], 'extra': []}","{'superficie': [], 'estructura': ['laminada'], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
subglobosas ovoides elipsoides,cafe claro cafe oscuro a casi negro,1.0,hifa suspensora de pared delgada dificil de observar se ensancha ligeramente a corta distancia de la espora,sin reporte,laminada con gradiente de color oscuro en el exterior a mas claro en el interior,Glomus melanosporum,Glomus,Glomeraceae,No reportada,Variada,Suelos ricos en M.O.,Asociado a gleba negruzca,esporas embebidas en hifas de pared delgada superficie del esporocarpo con hifas blancas sueltas y exudacion de latex cremoso al cortar especimenes frescos,distinguible por su gradiente de color en la pared de la espora y el exudado lacteo de especimenes frescos,166.0,277.0,221.5,subglobosa,"['elipsoide', 'ovoide', 'subglobosa']",0,0,1,0,0,0,0,1,0,0,1,0,"['marron', 'negro']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': [], 'septo': [], 'poro': [], 'extra': []}","{'superficie': [], 'estructura': ['laminada'], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
globosas subglobosas irregulares,hialinas amarillo palido cafe amarillentas,2.0,hifa suspensora recta o en forma de embudo,sin reporte,lisa fragil en ambas capas,Glomus microaggregatum,Glomus,Glomeraceae,Estados Unidos,"Maíz, Trigo",Suelos limosos,Suelos de distintas plantas,asociada a raices y a veces en grupos dentro de esporas muertas de otras especies micorricicas esporas con dos capas de pared similar en grosor m,distingue por sus pequenas esporas lisas y hialinas o amarillentas y su hifa suspensora mas estrecha en comparacion con especies similares,15.0,50.0,32.5,globosa,"['irregular', 'subglobosa', 'globosa']",0,0,0,0,1,1,0,0,0,0,1,0,"['hialino', 'amarillo', 'marron']",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['recta', 'embudo'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['lisa'], 'estructura': [], 'consistencia': ['fragil'], 'ornamentacion': []}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
globosas subglobosas ovoides,amarillo palido a amarillo dorado,2.0,union entre la hifa y la espora visible de estructura simple,sin reporte,lisa con una capa evanescente y otra laminada,Glomus microcarpum,Glomus,Glomeraceae,Distribuido globalmente,Generalista,Suelos forestales,"Polonia, U.S.A., India, Australia, Gran Bretaña, entre otros.",esporas pequenas arregladas en esporocarpos sin peridio dos capas en la estructura subcelular de la espora evanescente en esporas jovenes,es tipo de especie del genero glomus sus pequenas esporas no exceden los m y estan organizadas en esporocarpos con distribucion uniforme,22.0,55.0,38.5,globosa,"['ovoide', 'subglobosa', 'globosa']",0,0,0,0,1,0,0,1,0,0,1,0,"['amarillo', 'dorado']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"{'estructura': [], 'forma': [], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['lisa'], 'estructura': ['laminada'], 'consistencia': ['evanescente'], 'ornamentacion': []}",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
globosas subglobosas ovoides,hialinas,2.0,union entre la hifa y la espora visible estructura simple,sin reporte,lisa flexible en esporas jovenes semiflexible o rigida en maduras,Glomus minutum,Glomus,Glomeraceae,Polonia,"Musgos, Hepáticas",Hábitats húmedos,No reportada,esporas pequenas asociadas a raices en agregados con pared permanente flexible que puede quebrarse al aplastar,distinguible por sus esporas mas pequenas en comparacion con especies similares no reacciona con melzer y su pared externa es permanente y semiflexible,18.0,65.0,41.5,globosa,"['ovoide', 'subglobosa', 'globosa']",0,0,0,0,1,0,0,1,0,0,1,0,['hialino'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"{'estructura': [], 'forma': [], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['lisa'], 'estructura': [], 'consistencia': ['rigida', 'semiflexible', 'flexible'], 'ornamentacion': []}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
globosas subglobosas elipsoides,cafe tenue,2.0,fuerte conexion entre la hifa suspensora y la base de la espora hifa frecuentemente recurvada,sin reporte,laminada con equinulaciones escaretadas que se extienden hacia la hifa suspensora,Glomus monosporum,Glomus,Glomeraceae,Estados Unidos,Cultivos anuales,Campos de cultivo,No reportada,forma esporocarpos pequenos que contienen entre y esporas peridium variablemente desarrollado e incorpora particulas del suelo,distinguible por sus esporocarpos pequenos y las equinulaciones caracteristicas en la capa de la espora asi como la fuerte curvatura de su hifa suspensora,140.0,330.0,235.0,globosa,"['elipsoide', 'subglobosa', 'globosa']",0,0,1,0,1,0,0,0,0,0,1,0,['marron'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['curvada', 'curvada', 'recurvada'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': [], 'estructura': ['laminada'], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
globosas subglobosas piriformes reniformes irregulares,amarillo a cafe amarillento,3.0,conexion fuerte con la base de la espora hifa suspensora altamente variable,positivo,laminada,Glomus mortonii,Glomus,Glomeraceae,Estados Unidos,Ericáceas,Brezales ácidos,No reportada,esporocarpos formados en el suelo con esporas maduras asincronicamente el manto hifal puede confundirse con un peridium pero es altamente sinuoso grueso y hialino facilmente separable de la espora,distinguible por su manto hifal sinuoso y grueso esporocarpos pequenos y laminaciones en la pared de la espora que se desarrollan en diferentes etapas de maduracion,37.0,275.0,156.0,globosa,"['subglobosa', 'irregular', 'reniforme', 'piriforme', 'globosa']",0,0,0,0,1,1,0,0,1,1,1,0,"['amarillo', 'marron']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': [], 'septo': [], 'poro': [], 'extra': []}","{'superficie': [], 'estructura': ['laminada'], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
elipsoides subglobosas ocasionalmente triangulares,no reportada,1.0,conexion multiple de hifas suspensoras con al menos dos posicionadas adyacentes,sin reporte,ornamentada con proyecciones redondeadas regularmente distribuidas,Glomus multicaule,Glomus,Glomeraceae,No reportada,Especies leñosas,Bosques mixtos,No reportada,esporas formadas solitarias en el suelo estructura distintiva con una sola capa gruesa m y ornamentacion caracteristica,su multiple union hifal y ornamentacion espesa de la pared son caracteristicas unicas entre los glomus descritos hasta ahora,149.0,249.0,199.0,subglobosa,"['elipsoide', 'subglobosa', 'triangular']",0,0,1,0,0,0,0,0,0,0,1,1,['sin_reporte'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"{'estructura': ['hifa_suspensora'], 'forma': [], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['ornamentada'], 'estructura': [], 'consistencia': [], 'ornamentacion': ['proyecciones']}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
globosas subglobosas ocasionalmente ovoides,amarillo intenso a cafe,3.0,hifa suspensora simple amarilla a cafe acampanada o recta ocasionalmente contraida,positivo,ornamentada con agujeros distribuidos uniformemente,Glomus multiforum,Glomus,Glomeraceae,"Polonia, Turquía",Flora alpina,Zonas Alpinas,No reportada,la estructura subcelular de la espora incluye tres capas con una ornamentacion unica de agujeros en la capa las capas y son hialinas y la capa es laminada y coloreada,la unica especie conocida de glomus que presentea ornamentacion con agujeros uniformes en la capa de la espora,170.0,230.0,200.0,globosa,"['ovoide', 'subglobosa', 'globosa']",0,0,0,0,1,0,0,1,0,0,1,0,"['amarillo', 'marron']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['recta', 'acampanada', 'contraida'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['ornamentada'], 'estructura': [], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
